Titulo,Relator,Data de publicação,Data de julgamento,Órgão julgador,Ementa
ADI 4039,ROSA WEBER,30/06/22,27/06/22,Tribunal Pleno,"EMENTA    AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO TRIBUTÁRIO. FISTEL. DISCIPLINA DOS SERVIÇOS DE RADIODIFUSÃO. FISCALIZAÇÃO. TAXAS DE POLÍCIA. ATIVIDADE REGULADORA. ANATEL. ALEGAÇÃO DE INCONSTITUCIONALIDADE DO ARTIGO 2º, “E”, E DOS §§ 1º E 2º DO ARTIGO 6º DA LEI Nº 5.070/1966, COM REDAÇÃO DADA PELO ARTIGO 51 DA LEI Nº 9.472/1997. LEGITIMIDADE DA ABRATEL. INDICAÇÃO DOS DISPOSITIVOS IMPUGNADOS. REGULARIDADE DA REPRESENTAÇÃO PROCESSUAL. PRELIMINARES AFASTADAS. AVENTADA VIOLAÇÃO DOS ARTIGOS 145, II, E 5º, CAPUT, DA CONSTITUIÇÃO FEDERAL. FIEL OBSERVÂNCIA DO TEXTO CONSTITUCIONAL QUANTO AOS REQUISITOS PARA A INSTITUIÇÃO DE TAXAS. AUSÊNCIA DE INCONSTITUCIONALIDADE. IMPROCEDÊNCIA DO PEDIDO.    1. Embora, inicialmente, forte na heterogeneidade anterior à alteração estatutária, este Tribunal tenha rechaçado o reconhecimento de legitimidade ativa à ABRATEL (ADI 4110, Rel. Min. Ricardo Lewandowski, DJe 15.08.11 e ADI 3876, Rel. Min. Cezar Peluso, DJe 05.02.09), a modificação da jurisprudência confere-lhe legitimidade ativa uma vez presente a homogeneidade (Precedente: ADI 5432, rel. Min. Dias Toffoli, DJe 03.12.2018). Pertinência temática. Interesse em impugnar normas sobre a taxação do setor. Legitimidade ativa reconhecida.    2. Fundamentação da petição inicial suficiente para a compreensão da alegada violação da isonomia por criação de um ônus tributário supostamente incidente apenas sobre o setor de radiodifusão. Inexigibilidade de indicação pormenorizada, no instrumento de mandato, dos dispositivos legais alvejados. Precedentes. Preliminares afastadas.    3. Criação, pela Lei nº 5.070/66, do Fundo de Fiscalização das Telecomunicações – FISTEL – com a finalidade de prover recursos para cobrir despesas feitas pelo Governo Federal na execução da fiscalização de serviços de telecomunicações, desenvolver os meios e aperfeiçoar a técnica necessária a essa execução. Fundo provido de diversas fontes (art. 2º da Lei nº 5.070/66), entre as quais constam as “relativas ao exercício do poder de outorga do direito de uso de radiofreqüência para qualquer fim, inclusive multas e indenizações”, impugnadas na presente ação.    4. Radiodifusão abrangida pelo serviço de telecomunicações, nos termos das concepções legal (art. 60 da Lei nº 9.472/1997) e jurisprudencial (Tema 1.013 da Repercussão Geral – RE 1070522, Relator: Min. Luiz Fux, DJe 26.05.2021). Não cabe à ANATEL a outorga dos serviços de radiodifusão. Incumbe-lhe realizar a fiscalização dos aspectos técnicos das estações dos serviços de radiodifusão.     5. Regularidade da instituição das Taxas de Fiscalização de Instalação e de Fiscalização de Funcionamento (§§ 1º e 2º do art. 6º da Lei nº 5.070/66) devidas pelas concessionárias, permissionárias e autorizadas de serviços de telecomunicações e de uso de radiofrequência.    6. Aplicação, pela ANATEL, do montante do FISTEL nas atividades prescritas legalmente, como as referentes à fiscalização dos serviços de radiodifusão (art. 211 da Lei nº 9.472/1997). Taxas estabelecidas em função do exercício regular do poder de polícia que lhe foi conferido. Ausência de vício de constitucionalidade por afronta ao art. 145, II, da Carta Magna.     7. Recursos do FISTEL empregados pela ANATEL em ações que abrangem toda a área de telecomunicações, inclusive os serviços de radiodifusão (art. 211 da Lei nº 9.472/1997. O postulado constitucional da isonomia rechaça o discrímen injustificado e arbitrário, inexistente in casu. Ausência de inconstitucionalidade.    8. Ação direta conhecida e pedido julgado improcedente."
Pet 7872,MARCO AURÉLIO,12/03/21,22/09/20,Primeira Turma,"QUEIXA-CRIME – REPRESENTAÇÃO PROCESSUAL – VÍCIO. A falta de identificação, no instrumento de mandato – procuração –, dos fatos criminosos e a circunstância de a peça acusatória ser subscrita por profissional da advocacia, ausente aposição da assinatura de querelante, configuram vício na representação processual – inteligência do artigo 44 do Código de Processo Penal.    DENÚNCIA – IMUNIDADE PARLAMENTAR. A imunidade parlamentar pressupõe nexo de causalidade com o exercício do mandato. Declarações proferidas em razão do cargo de Deputado Federal encontram-se cobertas pela imunidade material – artigo 53 da Constituição Federal."
ARE 758478 AgR,DIAS TOFFOLI,14/11/14,16/09/14,Primeira Turma,"EMENTA    Agravo regimental no recurso extraordinário com agravo. Negativa de prestação jurisdicional. Não ocorrência. Direito à imagem. Programa de televisão. Dano moral. Pressupostos da responsabilidade civil demonstrados na origem. Reexame de fatos e provas. Impossibilidade. Ausência de repercussão geral do tema. Responsabilização dos meios de comunicação. Censura. Não caracterização. Precedentes.    1. A jurisdição foi prestada pelo Tribunal de origem mediante decisão suficientemente motivada (AI nº 791.292-QO-RG, Relator o Ministro Gilmar Mendes).    2. O Tribunal de origem concluiu, ante as circunstâncias fáticas peculiares do caso concreto, que a agravante, ao veicular programa de televisão, com intuito de obter audiência, o teria feito de forma abusiva, ofendendo o direito à imagem da agravada.    3. A ponderação de interesses, in casu, não prescinde do reexame contexto fático-probatório da causa, o qual é inadmissível em recurso extraordinário. Incidência da Súmula nº 279/STF.    4. O Plenário da Corte, no exame do ARE nº 739.382/RJ-RG, Relator o Ministro Gilmar Mendes, concluiu pela ausência de repercussão geral do tema relativo à configuração da responsabilidade civil por danos causados à imagem ou à honra, haja vista que o deslinde da questão não ultrapassa o interesse subjetivo das partes, tampouco prescinde do reexame de fatos e provas.    5. O Supremo Tribunal Federal, no julgamento da ADPF nº 130-DF, Relator o Ministro Ayres Britto, reconheceu que a Lei n° 5.250/67 (Lei de Imprensa) não teria sido recepcionada pela Constituição Federal de 1988, assentando, entretanto, a possibilidade, em vista do vigente texto constitucional, de responsabilização nas esferas penal, civil e administrativa daquele que, ao veicular matéria jornalística, abusar da liberdade de imprensa, sem que referidas sanções, aplicadas a posteriori, configurem impedimento à liberdade de expressão.     6. Agravo regimental não provido."
AO 1390,DIAS TOFFOLI,30/08/11,12/05/11,Tribunal Pleno,"EMENTA    Ação originária. Fatos incontroversos. Dispensável a instrução probatória. Liberdade de expressão limitada pelos direitos à honra, à intimidade e à imagem, cuja violação gera dano moral. Pessoas públicas. Sujeição a críticas no desempenho das funções. Limites. Fixação do dano moral. Grau de reprovabilidade da conduta. Fixação dos honorários. Art. 20, § 3º, do CPC.    1. É dispensável a audiência de instrução quando os fatos são incontroversos, uma vez que esses independem de prova (art. 334, III, do CPC).    2. Embora seja livre a manifestação do pensamento, tal direito não é absoluto. Ao contrário, encontra limites em outros direitos também essenciais para a concretização da dignidade da pessoa humana: a honra, a intimidade, a privacidade e o direito à imagem.    3. As pessoas públicas estão sujeitas a críticas no desempenho de suas funções. Todavia, essas não podem ser infundadas e devem observar determinados limites. Se as acusações destinadas são graves e não são apresentadas provas de sua veracidade, configurado está o dano moral.    4. A fixação do quantum indenizatório deve observar o grau de reprovabilidade da conduta.    5. A conduta do réu, embora reprovável, destinou-se a pessoa pública, que está sujeita a críticas relacionadas com a sua função, o que atenua o grau de reprovabilidade da conduta.    6. A extensão do dano é média, pois apesar de haver publicações das acusações feitas pelo réu, foi igualmente publicada, e com destaque (capa do jornal), matéria que inocenta o autor, o que minimizou o impacto das ofensas perante a sociedade.    7. O quantum fixado pela sentença (R$ 6.000,00) é razoável e adequado.    8. O valor dos honorários, de 15% (quinze por cento) sobre o valor da condenação, está em conformidade com os critérios estabelecidos pelo art. 20, § 3º, do CPC.    9. O valor dos honorários fixados na reconvenção também é adequado, representando a totalidade do valor dado à causa.    10. Agravo retido e apelações não providos."
ARE 1291779 AgR-segundo,DIAS TOFFOLI,15/05/24,13/05/24,Segunda Turma,"EMENTA    Segundo agravo regimental em recurso extraordinário com agravo. Direito processual civil e constitucional. Responsabilidade civil. Agente público. Legitimidade passiva ad causam. Fatos e provas. Reexame. Impossibilidade. Precedentes. Agravo regimental ao qual se nega provimento.    1. Na hipótese em disputa nos autos, é inviável chegar-se a conclusão diversa daquela da instância de origem para o acolhimento da pretensão deduzida pelo recorrente sem detida análise dos fatos e das provas dos autos utilizadas na fundamentação do acórdão recorrido.    2. Como se sabe, não se presta o recurso extraordinário para o reexame do conjunto fático-probatório da causa. Incidência da Súmula nº 279/STF.    3. Agravo regimental não provido.    4. Não houve majoração da verba honorária, tendo em vista a ausência de sua fixação pela origem."
HC 197011 AgR,ROBERTO BARROSO,18/04/22,19/10/21,Primeira Turma,"Ementa: Direito constitucional. Agravo regimental em Habeas Corpus. Crise sanitária pela Covid-19. Necessidade de realização do exame RT-PCR para retorno ao território nacional. Óbice da Súmula 691. Falta de impugnação aos fundamentos da decisão agravada. Agravo não conhecido.     1. A jurisprudência deste Supremo Tribunal Federal é pacífica, no sentido de que a parte agravante tem o dever de impugnar, de forma específica, todos os fundamentos da decisão agravada, sob pena de não conhecimento do agravo regimental (HC 133.685-AgR, Rel. Min. Cármen Lúcia; HC 191.055-AgR, Rel. Min. Rosa Weber). Situação concreta em que o recorrente não impugnou, minimamente, os fundamentos da decisão agravada, o que impossibilita o conhecimento do recurso.    2. A decisão agravada deixou consignada a inadequação da via processual eleita, tendo em vista a firme jurisprudência desta Corte, no sentido da inadmissibilidade da impetração de habeas corpus contra decisão denegatória de provimento cautelar. Incidência, no caso, do óbice da Súmula 691 do STF.    3. A Portaria Interministerial que impõe a realização do exame RT-PCR, como condição para retorno dos pacientes ao território nacional, não caracteriza ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício. Ato do poder público com o objetivo de assegurar a todos os direitos relativos à saúde, notadamente diante de uma situação de pandemia reconhecida pela OMS e pelo Brasil.    4. Hipótese em que o risco epidemiológico, num contexto de emergência sanitária mundial, justifica o desconforto, excepcional e temporário, produzido pela condição estabelecida na Portaria Interministerial. Condição que vem sendo adotada por vários outros países, tais como Estados Unidos e Reino Unido.     5. Agravo regimental não conhecido."
ADI 6225,CÁRMEN LÚCIA,01/09/21,23/08/21,Tribunal Pleno,"EMENTA: MEDIDA CAUTELAR EM AÇÃO DIRETA DE INCONSTITUCIONALIDADE. CONVERSÃO EM JULGAMENTO DEFINITIVO. § 3º DO ART. 326-A DO CÓDIGO ELEITORAL, ACRESCENTADO PELA LEI N. 13.834/2019. DIVULGAÇÃO DE OBJETO DE DENUNCIAÇÃO CALUNIOSA ELEITORAL. PROPORCIONALIDADE DA PENA ABSTRATA COMINADA. INEXISTÊNCIA DE AFRONTA AOS PRINCÍPIOS DA INDIVIDUALIZAÇÃO DA PENA E DA LIBERDADE DE MANIFESTAÇÃO DE PENSAMENTO. AÇÃO DIRETA DE INCONSTITUCIONALIDADE JULGADA IMPROCEDENTE."
Inq 4694,MARCO AURÉLIO,01/08/19,11/09/18,Primeira Turma,"DECLARAÇÕES – CARÁTER DISCRIMINATÓRIO – INEXISTÊNCIA. Declarações desprovidas da finalidade de repressão, dominação, supressão ou eliminação não se investem de caráter discriminatório, sendo insuscetíveis a caracterizarem o crime previsto no artigo 20, cabeça, da Lei nº 7.716/1989.     DENÚNCIA – IMUNIDADE PARLAMENTAR – ARTIGO 53 DA CONSTITUIÇÃO FEDERAL – INCIDÊNCIA. A imunidade parlamentar pressupõe nexo de causalidade com o exercício do mandato. Declarações proferidas em razão do cargo de Deputado Federal encontram-se cobertas pela imunidade material."
ADI 5794,EDSON FACHIN,23/04/19,29/06/18,Tribunal Pleno,"Ementa: Direito Constitucional e Trabalhista. Reforma Trabalhista. Facultatividade da Contribuição Sindical. Constitucionalidade. Inexigência de Lei Complementar. Desnecessidade de lei específica. Inexistência de ofensa à isonomia tributária (Art. 150, II, da CRFB). Compulsoriedade da contribuição sindical não prevista na Constituição (artigos 8º, IV, e 149 da CRFB). Não violação à autonomia das organizações sindicais (art. 8º, I, da CRFB). Inocorrência de retrocesso social ou atentado aos direitos dos trabalhadores (artigos 1º, III e IV, 5º, XXXV, LV e LXXIV, 6º e 7º da CRFB). Correção da proliferação excessiva de sindicatos no Brasil. Reforma que visa ao fortalecimento da atuação sindical. Proteção às liberdades de associação, sindicalização e de expressão (artigos 5º, incisos IV e XVII, e 8º, caput, da CRFB). Garantia da liberdade de expressão (art. 5º, IV, da CRFB). Ações Diretas de Inconstitucionalidade julgadas improcedentes. Ação Declaratória de Constitucionalidade julgada procedente.    1. À lei ordinária compete dispor sobre fatos geradores, bases de cálculo e contribuintes quanto à espécie tributária das contribuições, não sendo exigível a edição de lei complementar para a temática, ex vi do art. 146, III, alínea ‘a’, da Constituição.    2. A extinção de contribuição pode ser realizada por lei ordinária, em paralelismo à regra segundo a qual não é obrigatória a aprovação de lei complementar para a criação de contribuições, sendo certo que a Carta Magna apenas exige o veículo legislativo da lei complementar no caso das contribuições previdenciárias residuais, nos termos do art. 195, § 4º, da Constituição. Precedente (ADI 4697, Relator(a): Min. EDSON FACHIN, Tribunal Pleno, julgado em 06/10/2016).    3. A instituição da facultatividade do pagamento de contribuições sindicais não demanda lei específica, porquanto o art. 150, § 6º, da Constituição trata apenas de “subsídio ou isenção, redução de base de cálculo, concessão de crédito presumido, anistia ou remissão”, bem como porque a exigência de lei específica tem por finalidade evitar as chamadas “caudas legais” ou “contrabandos legislativos”, consistentes na inserção de benefícios fiscais em diplomas sobre matérias completamente distintas, como forma de chantagem e diminuição da transparência no debate público, o que não ocorreu na tramitação da reforma trabalhista de que trata a Lei nº 13.467/2017. Precedentes (ADI 4033, Relator(a): Min. JOAQUIM BARBOSA, Tribunal Pleno, julgado em 15/09/2010; RE 550652 AgR, Relator(a): Min. RICARDO LEWANDOWSKI, Segunda Turma, julgado em 17/12/2013).    4. A Lei nº 13.467/2017 emprega critério homogêneo e igualitário ao exigir prévia e expressa anuência de todo e qualquer trabalhador para o desconto da contribuição sindical, ao mesmo tempo em que suprime a natureza tributária da contribuição, seja em relação aos sindicalizados, seja quanto aos demais, motivos pelos quais não há qualquer violação ao princípio da isonomia tributária (art. 150, II, da Constituição), até porque não há que se invocar uma limitação ao poder de tributar para prejudicar o contribuinte, expandindo o alcance do tributo, como suporte à pretensão de que os empregados não-sindicalizados sejam obrigados a pagar a contribuição sindical.    5. A Carta Magna não contém qualquer comando impondo a compulsoriedade da contribuição sindical, na medida em que o art. 8º, IV, da Constituição remete à lei a tarefa de dispor sobre a referida contribuição e o art. 149 da Lei Maior, por sua vez, limita-se a conferir à União o poder de criar contribuições sociais, o que, evidentemente, inclui a prerrogativa de extinguir ou modificar a natureza de contribuições existentes.    6. A supressão do caráter compulsório das contribuições sindicais não vulnera o princípio constitucional da autonomia da organização sindical, previsto no art. 8º, I, da Carta Magna, nem configura retrocesso social e violação aos direitos básicos de proteção ao trabalhador insculpidos nos artigos 1º, III e IV, 5º, XXXV, LV e LXXIV, 6º e 7º da Constituição.    7. A legislação em apreço tem por objetivo combater o problema da proliferação excessiva de organizações sindicais no Brasil, tendo sido apontado na exposição de motivos do substitutivo ao Projeto de Lei nº 6.787/2016, que deu origem à lei ora impugnada, que o país possuía, até março de 2017, 11.326 sindicatos de trabalhadores e 5.186 sindicatos de empregadores, segundo dados obtidos no Cadastro Nacional de Entidades Sindicais do Ministério do Trabalho, sendo que, somente no ano de 2016, a arrecadação da contribuição sindical alcançou a cifra de R$ 3,96 bilhões de reais.    8. O legislador democrático constatou que a contribuição compulsória gerava uma oferta excessiva e artificial de organizações sindicais, configurando uma perda social em detrimento dos trabalhadores, porquanto não apenas uma parcela dos vencimentos dos empregados era transferida para entidades sobre as quais eles possuíam pouca ou nenhuma ingerência, como também o número estratosférico de sindicatos não se traduzia em um correspondente aumento do bem-estar da categoria.    9. A garantia de uma fonte de custeio, independentemente de resultados, cria incentivos perversos para uma atuação dos sindicatos fraca e descompromissada com os anseios dos empregados, de modo que a Lei nº 13.467/2017 tem por escopo o fortalecimento e a eficiência das entidades sindicais, que passam a ser orientadas pela necessidade de perseguir os reais interesses dos trabalhadores, a fim de atraírem cada vez mais filiados.    10. Esta Corte já reconheceu que normas afastando o pagamento obrigatório da contribuição sindical não configuram indevida interferência na autonomia dos sindicatos: ADI 2522, Relator(a): Min. EROS GRAU, Tribunal Pleno, julgado em 08/06/2006.    11. A Constituição consagra como direitos fundamentais as liberdades de associação, sindicalização e de expressão, consoante o disposto nos artigos 5º, incisos IV e XVII, e 8º, caput, tendo o legislador democrático decidido que a contribuição sindical, criada no período autoritário do estado novo, tornava nula a liberdade de associar-se a sindicatos.    12. O engajamento notório de entidades sindicais em atividades políticas, lançando e apoiando candidatos, conclamando protestos e mantendo estreitos laços com partidos políticos, faz com que a exigência de financiamento por indivíduos a atividades políticas com as quais não concordam, por meio de contribuições compulsórias a sindicatos, configure violação à garantia fundamental da liberdade de expressão, protegida pelo art. 5º, IV, da Constituição. Direito Comparado: Suprema Corte dos Estados Unidos, casos Janus v. American Federation of State, County, and Municipal Employees, Council 31 (2018) e Abood v. Detroit Board of Education (1977).    13. A Lei nº 13.467/2017 não compromete a prestação de assistência judiciária gratuita perante a Justiça Trabalhista, realizada pelos sindicatos inclusive quanto a trabalhadores não associados, visto que os sindicatos ainda dispõem de múltiplas formas de custeio, incluindo a contribuição confederativa (art. 8º, IV, primeira parte, da Constituição), a contribuição assistencial (art. 513, alínea ‘e’, da CLT) e outras contribuições instituídas em assembleia da categoria ou constantes de negociação coletiva, bem assim porque a Lei n.º 13.467/2017 ampliou as formas de financiamento da assistência jurídica prestada pelos sindicatos, passando a prever o direito dos advogados sindicais à percepção de honorários sucumbenciais (nova redação do art. 791-A, caput e § 1º, da CLT), e a própria Lei n.º 5.584/70, em seu art. 17, já dispunha que, ante a inexistência de sindicato, cumpre à Defensoria Pública a prestação de assistência judiciária no âmbito trabalhista.    14. A autocontenção judicial requer o respeito à escolha democrática do legislador, à míngua de razões teóricas ou elementos empíricos que tornem inadmissível a sua opção, plasmada na reforma trabalhista sancionada pelo Presidente da República, em homenagem à presunção de constitucionalidade das leis e à luz dos artigos 5º, incisos IV e XVII, e 8º, caput, da Constituição, os quais garantem as liberdades de expressão, de associação e de sindicalização.    15. Ações Diretas de Inconstitucionalidade julgadas improcedentes e Ação Declaratória de Constitucionalidade julgada procedente para assentar a compatibilidade da Lei n.º 13.467/2017 com a Carta Magna."
RE 1283533 AgR,DIAS TOFFOLI,03/12/21,15/09/21,Primeira Turma,"EMENTA    Agravo regimental no recurso extraordinário. Direito Constitucional e Civil. Danos morais. Imunidade parlamentar absoluta. Manifestação proferida no interior da casa legislativa. Precedentes.    1. Segundo a firme jurisprudência do Supremo Tribunal Federal, fé absoluta a imunidade parlamentar no que concerne a manifestações feitas no exercício do mandato a partir da tribuna da casa legislativa em que o parlamentar tem assento.    2. Agravo regimental não provido.    3. Havendo prévia fixação de honorários advocatícios, seu valor monetário será majorado em 10% (dez por cento) em desfavor da parte recorrente, nos termos do art. 85, § 11, do CPC, observados os limites dos §§ 2º e 3º do referido artigo e a eventual concessão de justiça gratuita."
RE 888090 AgR-EDv,CÁRMEN LÚCIA,06/07/20,16/06/20,Tribunal Pleno,EMENTA: EMBARGOS DE DIVERGÊNCIA NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO. DIREITO CONSTITUCIONAL E TRIBUTÁRIO. IMUNIDADE TRIBUTÁRIA. IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS – ICMS. IMPORTAÇÃO DE PRODUTOS COMPLEMENTARES DE REVISTAS INFANTIS. IMUNIDADE NÃO CONFIGURADA. INTERPRETAÇÃO RESTRITIVA. PRECEDENTES. NATUREZA JURÍDICA E DESTINAÇÃO DESSES MATERIAIS: SÚMULA N. 279 DO SUPREMO TRIBUNAL FEDERAL. EMBARGOS DE DIVERGÊNCIA ACOLHIDOS PARA NEGAR PROVIMENTO AO RECURSO EXTRAORDINÁRIO.
Pet 6005,MARCO AURÉLIO,05/09/17,30/08/16,Primeira Turma,"INJÚRIA VERSUS DIFAMAÇÃO. A difamação pressupõe atribuir a outrem fato determinado ofensivo à reputação. Na injúria, tem-se veiculação capaz de, sem especificidade, implicar ofensa à dignidade ou ao decoro.    QUEIXA – IMUNIDADE PARLAMENTAR – ARTIGO 53 DA CONSTITUIÇÃO FEDERAL – INCIDÊNCIA. A imunidade parlamentar pressupõe nexo de causalidade com o exercício do mandato. Declarações proferidas em razão do cargo de Presidente de Comissão Parlamentar encontram-se cobertas pela imunidade material.    QUEIXA – IMUNIDADE PARLAMENTAR – VEICULAÇÃO DE ENTREVISTA EM JORNAL. A circunstância de o parlamentar haver concedido entrevista jornalística relativamente à respectiva atuação não afasta a imunidade prevista no artigo 53 da Constituição Federal, que se estende de forma linear, extravasando os limites da Casa Legislativa."
Pet 10972,ALEXANDRE DE MORAES,12/11/24,06/11/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. QUEIXA-CRIME. OBSERVÂNCIA DOS ARTIGOS 41 E 395 DO CÓDIGO DE PROCESSO PENAL. PRESENÇA DE JUSTA CAUSA PARA A AÇÃO PENAL. NÃO INCIDÊNCIA DA IMUNIDADE MATERIAL (CF, ARTIGO 53, CAPUT). QUEIXA-CRIME APTA. NARRATIVA CLARA E EXPRESSA QUE SE AMOLDA À DESCRIÇÃO TÍPICA DOS CRIMES IMPUTADOS: ARTS. 138 (CALÚNIA), 139 (DIFAMAÇÃO) E 140 (INJÚRIA), TODOS DO CÓDIGO PENAL. EXISTÊNCIA DE PROVA DA MATERIALIDADE E INDÍCIOS DE AUTORIA. RECEBIMENTO INTEGRAL DA QUEIXA-CRIME.     1. A queixa-crime expõe de forma compreensível e coerente os fatos e todos os requisitos exigidos, permitindo ao acusado a compreensão da imputação e, consequentemente, o pleno exercício do seu direito de defesa, como exigido por esta CORTE (AP 560, Rel. Min. DIAS TOFFOLI, Segunda Turma, DJe de 11/6/2015; INQ 3204, Rel. Min. GILMAR MENDES, Segunda Turma, DJe de 3/8/2015).    2. Presentes os requisitos do art. 41 do CPP e a justa causa para a ação penal (CPP, art. 395, III), analisada a partir de seus três componentes tipicidade, punibilidade e viabilidade.    3. A Constituição Federal consagra o binômio “LIBERDADE e RESPONSABILIDADE”; não permitindo de maneira irresponsável a efetivação de abuso no exercício de um direito constitucionalmente consagrado; não permitindo a utilização da “liberdade de expressão” como escudo protetivo para a prática de discursos de ódio, antidemocráticos, ameaças, agressões, infrações penais e toda a sorte de atividades ilícitas.    3. Conduta imputada a Deputado Federal consistente em proferir ofensas aos Senadores da República, com citação nominal ao querelante, sem qualquer relação com a atividade parlamentar (ausência de implicação recíproca) e, principalmente, por ter sido praticada não na Tribuna da Câmara, mas em página da rede social Instagram. Não incidência da imunidade material ou inviolabilidade parlamentar prevista no caput do artigo 53 da Constituição Federal.    5. A jurisprudência da CORTE é pacífica no sentido de que a garantia constitucional da imunidade parlamentar material somente incide no caso de as manifestações guardarem conexão com o desempenho da função legislativa ou que sejam proferidas em razão desta, não sendo possível utilizá-la como verdadeiro escudo protetivo para a prática de atividades ilícitas. Precedentes. Inexistência da inviolabilidade em relação às condutas típicas imputadas pelo querelante ao querelado.    6. QUEIXA-CRIME INTEGRALMENTE RECEBIDA. Oficie-se a Câmara do Deputados, nos termos do artigo 53, §3º da Constituição Federal."
Rcl 19464 AgR,DIAS TOFFOLI,14/12/20,10/10/20,Segunda Turma,"EMENTA    Agravo regimental na reclamação. ADPF nº 130/DF. Direito Constitucional e Direito Penal. Inquérito Policial. Imputação do art. 10 da Lei nº 9.296/96. Afastamento do sigilo de dados telefônicos de jornalista e de empresa que edita periódico. Sigilo da fonte (art. 5º, XIV, CF). Inexistência da exigida aderência inequívoca entre o objeto do ato reclamado e o conteúdo da decisão paradigma. Inadmissibilidade da reclamação. Precedentes. Não provimento do agravo regimental. Constrangimento ilegal flagrante configurado. Hipótese de concessão de habeas corpus de ofício. Quebra de segredo de justiça sem autorização judicial (art. 10, segunda parte, da Lei nº 9.296/96). Crime que admite duas modalidades: intrusão (acesso indevido) e revelação. Publicação, por veículo de imprensa, do conteúdo sigiloso de conversações telefônicas interceptadas por ordem judicial. Conduta que, em tese, se subsume formalmente na modalidade revelação. Hipótese, contudo, de crime próprio, que somente pode ser cometido por quem tenha legítimo acesso ao procedimento de interceptação telefônica. Atipicidade manifesta da conduta do jornalista. Afastamento do sigilo de dados telefônicos do jornalista e da empresa que edita o periódico. Inadmissibilidade no caso concreto. Violação do sigilo de fonte (art. 5º, XIV, CF). Prova ilícita (art. 5º, LVI, CF e art. 157, CPP). Concessão, de ofício, de ordem de habeas corpus, para determinar o trancamento do inquérito policial e a inutilização dos dados obtidos mediante afastamento do sigilo telefônico.    1. A exceção constitucional à inviolabilidade “[d]o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas” (art. 5º, XII, da CF/88) para os profissionais e as sociedades empresárias vinculadas à atividade de imprensa não foi objeto da ADPF nº 130/DF.    2. Ausência de decisão vinculante da Suprema Corte na ADPF nº 130/DF ou mesmo de fundamentos determinantes expendidos nesse julgado que corroborem o entendimento de que a garantia do sigilo da fonte jornalística (inciso XIV do art. 5º da CF/88) consiste em “regra constitucional” e, portanto, “não comporta nenhuma exceção”.    3. Para que seja admitido o manejo da reclamação constitucional, exige-se a presença de aderência inequívoca do objeto do ato reclamado ao conteúdo da decisão paradigma, o que não ocorreu na espécie.    4. Não provimento do agravo regimental.    5. Presença de flagrante constrangimento ilegal, que autoriza a concessão, de ofício, de ordem de habeas corpus.    6. O crime de quebra de sigilo bancário (art. 10 da Lei Complementar nº 105/01) comporta duas modalidades: intrusão (acesso indevido) e revelação, conforme já assentou o Supremo Tribunal Federal (Pet nº 3.898/DF, Pleno, Relator o Ministro Gilmar Mendes, DJe de 18/12/09).    7. Como a ação nuclear (“quebrar”) de ambos os crimes é idêntica, a quebra de segredo de justiça sem autorização judicial (art. 10, segunda parte, da Lei nº 9.296/96) admite essas mesmas modalidades.    8. A quebra de segredo de justiça na modalidade revelação constitui crime próprio, que somente pode ser praticado por quem legitimamente tenha acesso ao procedimento de interceptação telefônica, o que não é o caso de jornalista.    9. Inexistência, na espécie, de indícios mínimos de que o jornalista, ao publicar o conteúdo do procedimento de interceptação telefônica, tenha concorrido para a intrusão ou para a violação do segredo de justiça por quem tinha o dever de resguardá-lo, razão por que é atípica a conduta a ele imputada.    10. Nessas circunstâncias, é vedado, ante o sigilo constitucional de fonte (art. 5º, XIV, CF), ordenar-se o afastamento do sigilo telefônico do jornalista autor da matéria ou da empresa jornalística que a publicou a pretexto de se apurar a autoria do vazamento das informações sobre segredo de justiça.    11. Os dados obtidos mediante indevido afastamento de sigilo telefônico, com violação do sigilo de fonte, constituem prova ilícita, inadmissível no processo penal (art. 5º, LVI, CF e art. 157, CPP).    12. Ordem concedida de ofício para determinar o trancamento do inquérito policial, tornar sem efeito o indiciamento do jornalista e ordenar a inutilização dos dados obtidos mediante indevido afastamento do sigilo telefônico."
RE 1093553 RG,LUIZ FUX,06/04/18,29/03/18,Tribunal Pleno,RECURSO EXTRAORDINÁRIO. DECLARAÇÃO DE INCONSTITUCIONALIDADE DO ART. 233 DO CP. PRINCÍPIO DA RESERVA LEGAL. QUESTÃO JURÍDICA QUE TRANSCENDE O INTERESSE SUBJETIVO DA CAUSA. MANIFESTAÇÃO PELA EXISTÊNCIA DE QUESTÃO CONSTITUCIONAL E PELA REPERCUSSÃO GERAL DA MATÉRIA.
